Feature_ID	English	Language_ID	Language name (-dialect)	Family	Region	Value	Alignment	Cognatesets	Source
1	sun	kuii1253	Kui-Moru	Timor-Alor-Pantar	Alor	ber	nan	nan	datasets/taplanguagesmay2016.tsv
1	sun	kula1280	Kula	Timor-Alor-Pantar	Alor	wad	nan	nan	datasets/tpghc20151002wordlist.tsv
1	sun	kula1280-lanto	Kula-Lantoka	Timor-Alor-Pantar	Alor	wad	nan	nan	datasets/taplanguagesmay2016.tsv
1	sun	rett1240	Reta	Timor-Alor-Pantar	Alor	vid	nan	nan	datasets/taplanguagesmay2016.tsv
1	sun	sawi1256	Sawila	Timor-Alor-Pantar	Alor	wadi	nan	nan	datasets/swthc20151026wordlist.tsv
1	sun	sawi1256	Sawila	Timor-Alor-Pantar	Alor	wadi	nan	nan	datasets/taplanguagesmay2016.tsv
1	sun	baka1276	Blagar-Bakalang	Timor-Alor-Pantar	Pantar	ved	nan	nan	datasets/taplanguagesmay2016.tsv
1	sun	blag1240-bama	Blagar-Bama	Timor-Alor-Pantar	Pantar	ved	nan	nan	datasets/taplanguagesmay2016.tsv
1	sun	blag1240-kulij	Blagar-Kulijahi	Timor-Alor-Pantar	Pantar	ved en	nan	nan	datasets/taplanguagesmay2016.tsv
1	sun	blag1240-kulij	Blagar-Kulijahi	Timor-Alor-Pantar	Pantar	wed en	nan	nan	datasets/taplanguagesmay2016.tsv
1	sun	blag1240-nule	Blagar-Nule	Timor-Alor-Pantar	Pantar	ved	nan	nan	datasets/taplanguagesmay2016.tsv
1	sun	blag1240-tuntu	Blagar-Tuntuli	Timor-Alor-Pantar	Pantar	ved	nan	nan	datasets/taplanguagesmay2016.tsv
1	sun	blag1240-warsa	Blagar-Warsalelang	Timor-Alor-Pantar	Pantar	ved	nan	nan	datasets/taplanguagesmay2016.tsv
1	sun	dein1238	Deing	Timor-Alor-Pantar	Pantar	war	nan	nan	datasets/taplanguagesmay2016.tsv
1	sun	kaer1234	Kaera-Abangiwang	Timor-Alor-Pantar	Pantar	'wɛr	nan	nan	datasets/taplanguagesmay2016.tsv
1	sun	kaer1234-o	Kaera-Abangiwang (Orthographic)	Timor-Alor-Pantar	Pantar	wɛr	nan	nan	datasets/taplanguagesmay2016.tsv
1	sun	nede1245	Nedebang	Timor-Alor-Pantar	Pantar	weri	nan	nan	datasets/taplanguagesmay2016.tsv
1	sun	alor1249-sar-adiabang	Sar-Adiabang	Timor-Alor-Pantar	Pantar	war	nan	nan	datasets/taplanguagesmay2016.tsv
1	sun	alor1249-sar-nule	Sar-Nule	Timor-Alor-Pantar	Pantar	war(get)	nan	nan	datasets/taplanguagesmay2016.tsv
1	sun	teiw1235	Teiwa-Lebang	Timor-Alor-Pantar	Pantar	war ge:t	nan	nan	datasets/taplanguagesmay2016.tsv
1	sun	lamm1241	Western Pantar-Tubbe	Timor-Alor-Pantar	Pantar	was	nan	nan	datasets/taplanguagesmay2016.tsv
1	sun	pura1258	Blagar-Pura	Timor-Alor-Pantar	Pura	wɛd	nan	nan	datasets/beupuramk20160511wordlist.tsv
1	sun	bunakbobonaro	Bunaq-Bobonaro	Timor-Alor-Pantar	Timor	hɔt	nan	nan	datasets/bfnbobonaromk201601wordlist.tsv
1	sun	buna1278-malia	Bunaq-Maliana	Timor-Alor-Pantar	Timor	'hɔt	nan	nan	datasets/taplanguagesmay2016.tsv
1	sun	bunaksuai	Bunaq-Suai	Timor-Alor-Pantar	Timor	hɔt	nan	nan	datasets/bfnsuaimk201601wordlist.tsv
1	sun	fata1247	Fataluku	Timor-Alor-Pantar	Timor	watɕu	nan	nan	datasets/ddgmk20160112wordlist.tsv
1	sun	maka1316	Makasae	Timor-Alor-Pantar	Timor	watu	nan	nan	datasets/mkzmk20160112wordlist.tsv
1	sun	wers1238	Wersing	Timor-Alor-Pantar	Timor	wudi	nan	nan	datasets/kvwhc20151026wordlist.tsv
