# Wordlist

# DATA
ID	CONCEPT_ID	CONCEPT	DOCULECT_ID	DOCULECT	FAMILY	REGION	VALUE	ALIGNMENT	COGNATE_SET	SOURCE	SEGMENTS
2327	208.0	1pl incl	adan1251	Adang	Timor-Alor-Pantar	Alor	piri		1		p i r i
2913	208.0	1pl incl	lama1278	Lamaholot-Lewoingu	Austronesian	Flores	ˈtite		a		ˈt i t e
3375	208.0	1pl incl	sika1262	Sika	Austronesian	Flores	ʔita		a		ʔ i t a
8482	208.0	1pl incl	kaer1234	Kaera-Abangiwang	Timor-Alor-Pantar	Pantar	pi:ŋ		1		p iː ŋ
8483	208.0	1pl incl	kaer1234-o	Kaera-Abangiwang (Orthographic)	Timor-Alor-Pantar	Pantar	piŋ		nan		p i ŋ
8484	208.0	1pl incl	lamm1241	Western Pantar-Tubbe	Timor-Alor-Pantar	Pantar	ping		1		p i n g
8485	208.0	1pl incl	teiw1235	Teiwa-Lebang	Timor-Alor-Pantar	Pantar	piɁin; pi		1		p i ʔ i n
8486	208.0	1pl incl	buna1278	Bunak (Orthographic)	Timor-Alor-Pantar	Timor	bii; bibel		nan		b ii
8487	208.0	1pl incl	buna1278-malia	Bunaq-Maliana	Timor-Alor-Pantar	Timor	'ʔi:		nan		ˈʔ iː
8488	208.0	1pl incl	p-alor1249	proto-AP	Timor-Alor-Pantar		*pi-		nan		p i
8489	208.0	1pl incl	p-east2519	proto-TIM	Timor-Alor-Pantar		*fi		nan		f i
8490	208.0	1pl incl	p-timo1261	proto-TAP	Timor-Alor-Pantar		*pi		nan		p i
16151	208.0	1pl incl	kula1280	Kula	Timor-Alor-Pantar	Alor	igən		nan		i g ə n
16751	208.0	1pl incl	wers1238	Wersing	Timor-Alor-Pantar	Timor	tadi		nan		t a d i
17343	208.0	1pl incl	sout2896-lerek	Lerek Lamaholot	Austronesian	Lembata	ˈtite	nan	nan	nan	ˈt i t e
17914	208.0	1pl incl	buna1278-suai	Bunak-Suai	Timor-Alor-Pantar	Timor	i:		nan		iː
18499	208.0	1pl incl	pura1258	Blagar-Pura	Timor-Alor-Pantar	Pura	piŋ (emampi) (check Steinhauer)		nan		p i ŋ
19510	208.0	1pl incl	tetu1245-suai	Tetun Terik-Suai 	Austronesian	Timor	ita		nan		i t a
19992	208.0	1pl incl	alor1247-baran	Alorese-Baranusa	Austronesian	Pantar	,ʔi'tɛ	nan	nan	nan	ʔ i ˈt ɛ
20297	208.0	1pl incl	kema1243	Kemak	Austronesian	Timor	'ʔita		nan		ˈʔ i t a
20691	208.0	1pl incl	fata1247	Fataluku	Timor-Alor-Pantar	Timor	a'firi		nan		a ˈf i r i
