Feature_ID	Language_ID	Value	English	Language name (-dialect)	Family	Region	Comment	Alignment	Cognate Set	Source	Loan	Reference
139.0	cent2245-hewa	ʋaten	liver	Hewa	Austronesian	5Flores, 2Central		ʋ a t e n	144.0			
140.0	cent2245-hewa	ginjal	kidney	Hewa	Austronesian	5Flores, 2Central		g i n j a l	9086.0			
141.0	cent2245-hewa	tain ʋaten	guts	Hewa	Austronesian	5Flores, 2Central	"intestines; tain = intestine
vaten = liver"	t a i n _ ʋ a t e n	119.0			
142.0	cent2245-hewa	taʔi	excrement	Hewa	Austronesian	5Flores, 2Central		t a ʔ i	4116.0			
143.0	cent2245-hewa	0	lungs	Hewa	Austronesian	5Flores, 2Central		0	9046.0			
144.0	cent2245-hewa	dula	stomach; belly	Hewa	Austronesian	5Flores, 2Central	(belly)	d u l a -	799.0			
145.0	cent2245-hewa	loʔen	head	Hewa	Austronesian	5Flores, 2Central		l o ʔ e n	9206.0			
146.0	cent2245-hewa	loʔe	hair	Hewa	Austronesian	5Flores, 2Central	/vulu/: feather, animal hair, body hair	l o ʔ e -	6595.0			
146.0	cent2245-hewa	loʔe roun	hair	Hewa	Austronesian	5Flores, 2Central	/vulu/: feather, animal hair, body hair	l o ʔ e _ r o u n	6467.0			
146.0	cent2245-hewa	ʋulu	hair	Hewa	Austronesian	5Flores, 2Central	/vulu/: feather, animal hair, body hair	ʋ u l u	309.0			
147.0	cent2245-hewa	ʋuluʔ	body hair	Hewa	Austronesian	5Flores, 2Central		ʋ u l u ʔ	9651.0			
148.0	cent2245-hewa	mata	eye	Hewa	Austronesian	5Flores, 2Central		- - - m a t a -	53.0			
149.0	cent2245-hewa	tilu	ear	Hewa	Austronesian	5Flores, 2Central		t i l u - -	199.0			
150.0	cent2245-hewa	iru	nose	Hewa	Austronesian	5Flores, 2Central		i r u -	64.0			
151.0	cent2245-hewa	ʋa	mouth	Hewa	Austronesian	5Flores, 2Central		ʋ a	9168.0			
152.0	cent2245-hewa	a:ruʔ	chin	Hewa	Austronesian	5Flores, 2Central		aː r - - u ʔ -	3692.0			
153.0	cent2245-hewa	ʋiʋir	lips	Hewa	Austronesian	5Flores, 2Central		ʋ i ʋ i r	141.0			
154.0	cent2245-hewa	niu	teeth	Hewa	Austronesian	5Flores, 2Central	tooth (singular)	n i - u -	445.0			
155.0	cent2245-hewa	ma	tongue	Hewa	Austronesian	5Flores, 2Central		m a	9016.0			
156.0	cent2245-hewa	əru	neck	Hewa	Austronesian	5Flores, 2Central		- ə - - r u	3667.0			
157.0	cent2245-hewa	palik	shoulder	Hewa	Austronesian	5Flores, 2Central		- p a l i k	5843.0			
158.0	cent2245-hewa	təbo	body	Hewa	Austronesian	5Flores, 2Central		t ə b - o	1002.0			
158.0	cent2245-hewa	ʋiʔin	body	Hewa	Austronesian	5Flores, 2Central		ʋ i ʔ i n	8838.0			
159.0	cent2245-hewa	alaʔ	forehead	Hewa	Austronesian	5Flores, 2Central		- a l a ʔ - -	6071.0			
160.0	cent2245-hewa	iru boaŋ	nostril	Hewa	Austronesian	5Flores, 2Central	lit. nose hole	i r u _ b o a ŋ	9179.0			
161.0	cent2245-hewa	iru kləkak	mucus	Hewa	Austronesian	5Flores, 2Central		i r u _ k l ə k a k	5922.0			
162.0	cent2245-hewa	pipi	cheek	Hewa	Austronesian	5Flores, 2Central		p i p i	9056.0			
163.0	cent2245-hewa	lima	arm	Hewa	Austronesian	5Flores, 2Central		l i m - - - - a -	8612.0			
164.0	cent2245-hewa	lima	hand	Hewa	Austronesian	5Flores, 2Central		l i m a -	105.0			
165.0	cent2245-hewa	lima əpak	palm of hand	Hewa	Austronesian	5Flores, 2Central		l i m a _ - ə p a k	9118.0			
166.0	cent2245-hewa	kikir	finger	Hewa	Austronesian	5Flores, 2Central		k i - k i r	7931.0			
167.0	cent2245-hewa	unur	fingernail	Hewa	Austronesian	5Flores, 2Central		u n u r	9067.0			
168.0	cent2245-hewa	uhu	breast	Hewa	Austronesian	5Flores, 2Central		- u h u -	4580.0			
169.0	cent2245-hewa	rahaʔ	chest	Hewa	Austronesian	5Flores, 2Central		r a h a ʔ	8353.0			
170.0	cent2245-hewa	puhɛr	navel	Hewa	Austronesian	5Flores, 2Central		- - p - u h ɛ r	2552.0			
171.0	cent2245-hewa	uti	penis	Hewa	Austronesian	5Flores, 2Central		- u t i	9473.0			
172.0	cent2245-hewa	era	vagina	Hewa	Austronesian	5Flores, 2Central		- e r a	1219.0			
173.0	cent2245-hewa	tɛlɔ	testicles	Hewa	Austronesian	5Flores, 2Central		t ɛ l ɔ -	7222.0			
173.0	cent2245-hewa	uti	testicles	Hewa	Austronesian	5Flores, 2Central		u t i	9066.0			
174.0	cent2245-hewa	ʋaʔi	leg	Hewa	Austronesian	5Flores, 2Central	leg/foot	ʋ a ʔ i	9105.0			
175.0	cent2245-hewa	ʋaʔi	foot	Hewa	Austronesian	5Flores, 2Central	leg/foot	ʋ a ʔ i	9252.0			
176.0	cent2245-hewa	dimun	heel of foot	Hewa	Austronesian	5Flores, 2Central		- d i m u n -	8503.0			
177.0	cent2245-hewa	ʋaʔi əpak	sole of foot	Hewa	Austronesian	5Flores, 2Central		ʋ a ʔ i _ ə p a k	9159.0			
178.0	cent2245-hewa	tur	knee	Hewa	Austronesian	5Flores, 2Central		- - - t u r	6863.0			
179.0	cent2245-hewa	toʔe	back	Hewa	Austronesian	5Flores, 2Central		t o ʔ e	9082.0			
180.0	cent2245-hewa	hətulɛr	spine; lower back	Hewa	Austronesian	5Flores, 2Central		h ə t u l ɛ r - -	9154.0			
181.0	cent2245-hewa	həlɛr	waist	Hewa	Austronesian	5Flores, 2Central		h ə l ɛ r	7831.0			
182.0	cent2245-hewa	ʔulit	skin	Hewa	Austronesian	5Flores, 2Central		( - - - - - - ) ʔ u l i t - -	2467.0			
183.0	cent2245-hewa	lahin	sore; wound	Hewa	Austronesian	5Flores, 2Central		- - l a h i n	570.0			
184.0	cent2245-hewa	ʋəne	ringworm	Hewa	Austronesian	5Flores, 2Central		ʋ ə n e - -	2917.0			
185.0	cent2245-hewa	klutuk	scabies	Hewa	Austronesian	5Flores, 2Central		k l u t u k	9122.0			
186.0	cent2245-hewa	na:uʔ	tinea	Hewa	Austronesian	5Flores, 2Central		n aː u ʔ	9032.0			
187.0	cent2245-hewa	blihi	feverish	Hewa	Austronesian	5Flores, 2Central		b l i h i	9167.0			
188.0	cent2245-hewa	mata taʔin	conjunctivitis	Hewa	Austronesian	5Flores, 2Central		m a t a _ t - a ʔ i n	6999.0			
189.0	cent2245-hewa	naʋar	cold; influenza	Hewa	Austronesian	5Flores, 2Central		- - n a ʋ a r	4577.0			
190.0	cent2245-hewa	ata	person	Hewa	Austronesian	5Flores, 2Central		- a t a	238.0			
190.0	cent2245-hewa	biʔan	person	Hewa	Austronesian	5Flores, 2Central		b i ʔ a n	9146.0			
191.0	cent2245-hewa	naran	name	Hewa	Austronesian	5Flores, 2Central		n a r a n	172.0			
192.0	cent2245-hewa	dediʔ	child	Hewa	Austronesian	5Flores, 2Central	"/me/ daughter or son;
/dediʔ/ child in terms of age"	d e d i ʔ	9262.0			
192.0	cent2245-hewa	me	child	Hewa	Austronesian	5Flores, 2Central	"/me/ daughter or son;
/dediʔ/ child in terms of age"	- - m e - -	4949.0			
193.0	cent2245-hewa	laʔit	man	Hewa	Austronesian	5Flores, 2Central	man/male	l a ʔ i t	9024.0			
194.0	cent2245-hewa	duʔa	woman	Hewa	Austronesian	5Flores, 2Central	woman/female	d u ʔ a	5719.0			
195.0	cent2245-hewa	laʔi	husband	Hewa	Austronesian	5Flores, 2Central		- - l a ʔ i -	157.0			
196.0	cent2245-hewa	duʔa	wife	Hewa	Austronesian	5Flores, 2Central		d u ʔ a	9301.0			
197.0	cent2245-hewa	ina	mother	Hewa	Austronesian	5Flores, 2Central		- i n a -	495.0			
198.0	cent2245-hewa	ama	father	Hewa	Austronesian	5Flores, 2Central		- a m a - - -	5985.0			
199.0	cent2245-hewa	tata	older sibling	Hewa	Austronesian	5Flores, 2Central		- - t a t a -	56.0			
199.0	cent2245-hewa	ueʔ	older sibling	Hewa	Austronesian	5Flores, 2Central		u e ʔ	9126.0			
200.0	cent2245-hewa	ʋari	younger sibling	Hewa	Austronesian	5Flores, 2Central		ʋ a r i	6386.0			
201.0	cent2245-hewa	baha	bride price	Hewa	Austronesian	5Flores, 2Central	baha = belis consisting of elephant ivory	b a h a	9587.0			
201.0	cent2245-hewa	belis	bride price	Hewa	Austronesian	5Flores, 2Central		- - b e l i s	4664.0			
202.0	cent2245-hewa		slave	Hewa	Austronesian	5Flores, 2Central						
203.0	cent2245-hewa	aʔu	1sg	Hewa	Austronesian	5Flores, 2Central		- a ʔ u -	9299.0			
204.0	cent2245-hewa	ʔau	2sg (informal)	Hewa	Austronesian	5Flores, 2Central		ʔ a u	9676.0			
205.0	cent2245-hewa		2sg (polite)	Hewa	Austronesian	5Flores, 2Central						
