Value	Feature_ID	Language_ID	Comment	Loan	Cognate Set	Reference
gəlɔ'bei	412.0	kelo1247-hopte				
ʔə'li:l	413.0	kelo1247-hopte				
wə'rin	414.0	kelo1247-hopte				
gə'put	415.0	kelo1247-hopte				
tə'wi:l	416.0	kelo1247-hopte				
'tɛd	417.0	kelo1247-hopte				
tə'tɛ:d	417.0	kelo1247-hopte				
mi ʔə'bɛ:r	418.0	kelo1247-hopte				
gɔ'puɲ	419.0	kelo1247-hopte				
'pat	420.0	kelo1247-hopte				
gə'lɛʔ	420.0	kelo1247-hopte				
ʔu'pat	420.0	kelo1247-hopte				
ku'ku:ih	421.0	kelo1247-hopte				
gə'bik	422.0	kelo1247-hopte				
gə'jɔ:r	423.0	kelo1247-hopte				
gə'ru:m	423.0	kelo1247-hopte				
gə'wa:r	424.0	kelo1247-hopte				
ʔa'wa:r	424.0	kelo1247-hopte				
ʔə'pɛr	425.0	kelo1247-hopte				
lu'luk	426.0	kelo1247-hopte				
ʔi'mih	427.0	kelo1247-hopte				
'mi ʔi'gin	428.0	kelo1247-hopte				
'bɔŋ	429.0	kelo1247-hopte				
u'bɔŋ	429.0	kelo1247-hopte				
kə'mei	430.0	kelo1247-hopte				
ʔə'din	430.0	kelo1247-hopte				
'ʔil	431.0	kelo1247-hopte				
'ta:n	432.0	kelo1247-hopte				
tə'ka:	433.0	kelo1247-hopte				
gɔ'ʔa:s	434.0	kelo1247-hopte				
ʔu'tɛ:r	435.0	kelo1247-hopte				
'hi:l	436.0	kelo1247-hopte				
'mid	436.0	kelo1247-hopte				
tə'ʔuɲ	437.0	kelo1247-hopte				
gəwə'rɛb	438.0	kelo1247-hopte				
wə'rɛb	438.0	kelo1247-hopte				
lu:s	439.0	kelo1247-hopte				
gɛ'hɛ:r	440.0	kelo1247-hopte				
gɛ'mu:i	440.0	kelo1247-hopte				
'luk	441.0	kelo1247-hopte				
'mah	442.0	kelo1247-hopte	'mah = shoot with rifle; gə'ta:p= shoot with arrow			
gə'pɛt	443.0	kelo1247-hopte				
tə'pan	444.0	kelo1247-hopte				
pə'dɛŋ 'gu:d	445.0	kelo1247-hopte				
bɛ:	446.0	kelo1247-hopte				
tin 'ʔa:k	447.0	kelo1247-hopte				
tə'kɛɲ	448.0	kelo1247-hopte				
gə'lik	449.0	kelo1247-hopte				
'nuk	450.0	kelo1247-hopte				
ʔə'ruk	451.0	kelo1247-hopte				
'tɔŋ	452.0	kelo1247-hopte				
'ʔut	453.0	kelo1247-hopte				
ʔə'wih	454.0	kelo1247-hopte				
tə'la:n	455.0	kelo1247-hopte				
ʔu'sɔŋ	456.0	kelo1247-hopte				
tid ʔə'ruk	457.0	kelo1247-hopte				
tuk ʔɛi'nuk	458.0	kelo1247-hopte				
kar'nuk	459.0	kelo1247-hopte				
kar'nuk ʔə'wa: 'nuk	460.0	kelo1247-hopte				
kar'nuk ʔə'wa: aruk	461.0	kelo1247-hopte				
kar'nuk ʔə'wa: 'tɔŋ	462.0	kelo1247-hopte				
kar'nuk ʔə'wa: 'ʔut	463.0	kelo1247-hopte				
kar'nuk ʔə'wa: ʔa'weh	464.0	kelo1247-hopte				
kar'nuk ʔə'wa: tə'lan	465.0	kelo1247-hopte				
kar'nuk ʔə'wa: ʔu'sɔŋ	466.0	kelo1247-hopte				
kar'nuk ʔə'wa: tid ə'ruk	467.0	kelo1247-hopte				
kar'nuk ʔə'wa: tuk  ɛi'nuk	468.0	kelo1247-hopte				
kar ʔə'ruk	469.0	kelo1247-hopte				
kar ʔə'ruk ʔəwa: 'nuk	470.0	kelo1247-hopte				
kar ʔə'ruk ʔə'wa: a'ruk	471.0	kelo1247-hopte				
kar ʔə'ruk ʔə'wa: 'tɔŋ	472.0	kelo1247-hopte				
