Feature_ID	Language_ID	Value	English	Language name (-dialect)	Family	Region	Comment	Alignment	Cognate Set	Source	Loan	Reference
282.0	mamb1306	'lɔba	small	Mambai	Austronesian	4Timor, 2Central		ˈl ɔ b a	6761.0			
283.0	mamb1306	'ɛta	old; worn (house)	Mambai	Austronesian	4Timor, 2Central		- ˈɛ t a -	444.0			
284.0	mamb1306	'heu	new (house)	Mambai	Austronesian	4Timor, 2Central		ˈh e u -	6652.0			
285.0	mamb1306	'mɑi	old (people)	Mambai	Austronesian	4Timor, 2Central	old person; old man; old woman	ˈm ɑ - i - -	6658.0			
285.0	mamb1306	man mai (m)	old (people)	Mambai	Austronesian	4Timor, 2Central	old person; old man; old woman	m a n _ m a i	6738.0			
286.0	mamb1306	'hina 'sɑe	young (people)	Mambai	Austronesian	4Timor, 2Central		ˈh i n a _ ˈs ɑ e	6782.0			
288.0	mamb1306	'brus	hot	Mambai	Austronesian	4Timor, 2Central		ˈb r u s	6752.0			
289.0	mamb1306	'bisa	cold	Mambai	Austronesian	4Timor, 2Central		ˈb i s a	6780.0			
290.0	mamb1306	'kɔdɛ	good	Mambai	Austronesian	4Timor, 2Central		ˈk ɔ - d - ɛ	629.0			
291.0	mamb1306	'klao	bad	Mambai	Austronesian	4Timor, 2Central		ˈk - l a o -	6693.0			
292.0	mamb1306	'be:n	full	Mambai	Austronesian	4Timor, 2Central		ˈb eː n - -	124.0			
294.0	mamb1306	'sebi	near	Mambai	Austronesian	4Timor, 2Central		ˈs e b i	6722.0			
295.0	mamb1306	'rɔ:	far	Mambai	Austronesian	4Timor, 2Central		ˈr ɔː -	6696.0			
296.0	mamb1306	'ʔɛra	wet	Mambai	Austronesian	4Timor, 2Central		ˈʔ ɛ r a	3650.0			
297.0	mamb1306	'glia	dry	Mambai	Austronesian	4Timor, 2Central		ˈg l i a	6747.0			
303.0	mamb1306	hi'lirɛ	thin (non-human)	Mambai	Austronesian	4Timor, 2Central		h i ˈl i r ɛ -	2977.0			
