Feature_ID	Language_ID	Value	English	Language name (-dialect)	Family	Region	Comment	Alignment	Cognate Set	Source	Loan	Reference
171.0	adon1237	ˈute	penis	Lamaholot-Adonara	Austronesian	7Adonara	Kemaluan laki-laki. Often taboo. Be sensitive, explain: ini sehingga anggota tubuh semua  bisa dimasukkan dalam dalam kamus, itu saja, jangan marah bapak? If they still remain silent, skip.	- ˈu t e	9473			
172.0	adon1237	ˈmɜna	vagina	Lamaholot-Adonara	Austronesian	7Adonara	Kemaluan perempuan, same as above.	ˈm ɜ n a	9760			
173.0	adon1237	ˈlahak	testicles	Lamaholot-Adonara	Austronesian	7Adonara		ˈl a h a k	9317			
174.0	adon1237	ˈleikɜt	leg	Lamaholot-Adonara	Austronesian	7Adonara		ˈl e i k ɜ t	8528			
175.0	adon1237	ˈleikɜt tɜˈnɑpʔã	foot	Lamaholot-Adonara	Austronesian	7Adonara			d			
176.0	adon1237	ˈnudɜrɜt	heel of foot	Lamaholot-Adonara	Austronesian	7Adonara		ˈn u d ɜ r ɜ t	9309			
177.0	adon1237	leikɜt ˈʔonʔɜ	sole of foot	Lamaholot-Adonara	Austronesian	7Adonara		l e i k ɜ t _ ˈʔ o n ʔ ɜ	9375			
178.0	adon1237	ˈlotorɜt	knee	Lamaholot-Adonara	Austronesian	7Adonara		ˈl o t o r ɜ t	8972			
179.0	adon1237	ˈwohʔoˈkɜt	back	Lamaholot-Adonara	Austronesian	7Adonara		ˈw o h ʔ o ˈk ɜ t	1168			
180.0	adon1237	ˈhɜlɜrɜt	spine; lower back	Lamaholot-Adonara	Austronesian	7Adonara		ˈh ɜ - - l ɜ r ɜ t	9154			
181.0	adon1237	kɜˈlɜɡɜrɜt	waist	Lamaholot-Adonara	Austronesian	7Adonara		k ɜ ˈl ɜ ɡ ɜ r ɜ t	9483			
182.0	adon1237	ˈkamaˈkɜt	skin	Lamaholot-Adonara	Austronesian	7Adonara		ˈk a m a ˈk ɜ t	9331			
183.0	adon1237	ˈʔuŋarɜt	sore; wound	Lamaholot-Adonara	Austronesian	7Adonara		ˈʔ u ŋ a r ɜ t	275			
184.0	adon1237	kəˈbuʔu	ringworm	Lamaholot-Adonara	Austronesian	7Adonara		k ə ˈb u ʔ u	9392			
185.0	adon1237	kəˈbuʔu	scabies	Lamaholot-Adonara	Austronesian	7Adonara		k ə ˈb u ʔ u	8852			
186.0	adon1237	mɜˈnaɔ	tinea	Lamaholot-Adonara	Austronesian	7Adonara		m ɜ ˈn a ɔ - - - - - -	8677			
187.0	adon1237	pɜˈlatekɜt	feverish	Lamaholot-Adonara	Austronesian	7Adonara		p ɜ ˈl a t e k ɜ t	9364			
188.0	adon1237	kɜˈrara	conjunctivitis	Lamaholot-Adonara	Austronesian	7Adonara	red eyes; Ketika mata pedih dan merah kemudian ketika bangun tidur mata sulit dibuka dan kadang-kadang keluar cairan kuning.	k ɜ ˈr a r a	9353			
189.0	adon1237	pɜˈlate-ɡɜˈlɜtɜ	cold; influenza	Lamaholot-Adonara	Austronesian	7Adonara		p ɜ ˈl a t e ɡ ɜ ˈl ɜ t ɜ	9332			
190.0	adon1237	ˈʔata	person	Lamaholot-Adonara	Austronesian	7Adonara	Not 'manusia' (human being). Elicit 'orang' with a numeral, for example 'ada satu orang, dua orang, tiga orang...'	ˈʔ a t a - - - - - - - -	8779			
191.0	adon1237	ˈnarã	name	Lamaholot-Adonara	Austronesian	7Adonara			m			
192.0	adon1237	ˈʔanaʔ	child	Lamaholot-Adonara	Austronesian	7Adonara		ˈʔ a n a ʔ	6425			
193.0	adon1237	ˈʔama lake	man	Lamaholot-Adonara	Austronesian	7Adonara		ˈʔ a m a _ - - l a k e	8595			
194.0	adon1237	ˈʔina wae	woman	Lamaholot-Adonara	Austronesian	7Adonara		ˈʔ i n a _ w a e	8837			
195.0	adon1237	ˈlakhẽ	husband	Lamaholot-Adonara	Austronesian	7Adonara			n			
196.0	adon1237	hãː	wife	Lamaholot-Adonara	Austronesian	7Adonara	kɜˈwahẽ married woman; Not 'married woman'.		p			
197.0	adon1237	ˈʔina	mother	Lamaholot-Adonara	Austronesian	7Adonara		ˈʔ i n a	495			
198.0	adon1237	ˈʔama	father	Lamaholot-Adonara	Austronesian	7Adonara		ˈʔ a m a	5985			
199.0	adon1237	kakãm, kaka	older sibling	Lamaholot-Adonara	Austronesian	7Adonara	suffix m 2sg		7			
200.0	adon1237	ˈʔarim	younger sibling	Lamaholot-Adonara	Austronesian	7Adonara		- - - - - - ˈʔ a r i m -	733			
201.0	adon1237	weli	bride price	Lamaholot-Adonara	Austronesian	7Adonara		w e l i -	669			
202.0	adon1237	ˈʔariˈʔanaʔ	slave	Lamaholot-Adonara	Austronesian	7Adonara		ˈʔ a r i ˈʔ a n a ʔ	9336			
203.0	adon1237	ˈɡoʔɛ	1sg	Lamaholot-Adonara	Austronesian	7Adonara		ˈɡ o ʔ ɛ	60			
204.0	adon1237	ˈmoʔɛ	2sg (informal)	Lamaholot-Adonara	Austronesian	7Adonara		ˈm o ʔ ɛ	16			
205.0	adon1237	x	2sg (polite)	Lamaholot-Adonara	Austronesian	7Adonara		x	9334			
206.0	adon1237	ˈnaʔɛ	3sg	Lamaholot-Adonara	Austronesian	7Adonara		ˈn a ʔ ɛ	930			
207.0	adon1237	ˈkame	1pl excl	Lamaholot-Adonara	Austronesian	7Adonara		ˈk a m e	8904			
208.0	adon1237	ˈtite	1pl incl	Lamaholot-Adonara	Austronesian	7Adonara		ˈt i t e	175			
209.0	adon1237	ˈmio	2pl	Lamaholot-Adonara	Austronesian	7Adonara		ˈm i o	9967			
210.0	adon1237	ˈraʔe	3pl	Lamaholot-Adonara	Austronesian	7Adonara		ˈr a ʔ e - - - - - - - -	9747			
