ID,Form_ID,Cognateset_ID,Alignment,Source
610,610,5977,p aj - - -,LexStat
611,611,2125,- - - d o -,LexStat
612,612,2125,h i u d o -,LexStat
613,613,2082,iː b,LexStat
614,614,1001,p o p ou,LexStat
615,615,2709,l i b o ŋ,LexStat
616,616,4588,- - ʔ i n,LexStat
617,617,309,i l i w ei,LexStat
618,618,307,l ɛ ʔ i l i ŋ,LexStat
619,619,3150,h aː n u,LexStat
620,620,6527,ʔ a l ɛ ŋ,LexStat
621,621,3377,ʔ o n j,LexStat
622,622,4303,f a d i n,LexStat
623,623,2638,b ɛ l ʔ u t u,LexStat
624,624,4298,n ɛ l ɛ,LexStat
625,625,668,m aː t i -,LexStat
626,626,6344,k - aʔa - i -,LexStat
627,627,5038,- - - ʔ ɛ m ɛ,LexStat
628,628,5038,b a ŋ ʔ ɛ m ɛ,LexStat
629,629,4866,- - - - - h a b a r a ʔ,LexStat
