ID,Lect_ID,Concept_ID,Form,Segments,Comment,Source
135,kabo1247,tongue,ta'leb,t a l e b,,datasets_Kabola_Monbang_tsv
136,kabo1247,neck,ʔodolo,ʔ o d o l o,,datasets_Kabola_Monbang_tsv
137,kabo1247,shoulder,tabe'le,t a b e l e,,datasets_Kabola_Monbang_tsv
138,kabo1247,arm,(h)ataŋ,a t a ŋ,,datasets_Kabola_Monbang_tsv
139,kabo1247,arm,(h)ataŋ,a t a ŋ,,datasets_Kabola_Monbang_tsv
140,kabo1247,finger,tataŋ paʔa,t a t a ŋ _ p a ʔ a,,datasets_Kabola_Monbang_tsv
141,kabo1247,fingernail,hataŋ kusiŋ,h a t a ŋ _ k u s i ŋ,,datasets_Kabola_Monbang_tsv
142,kabo1247,breast,otoʔ,o t o ʔ,"(cf., tɔʔ ‘milk’)",datasets_Kabola_Monbang_tsv
143,kabo1247,navel,tə'pusu,t ə p u s u,,datasets_Kabola_Monbang_tsv
144,kabo1247,penis,to:t,t oː t,,datasets_Kabola_Monbang_tsv
145,kabo1247,vagina,ha:l,h aː l,,datasets_Kabola_Monbang_tsv
146,kabo1247,testicles,to:t kowai,t oː t _ k o w a i,,datasets_Kabola_Monbang_tsv
147,kabo1247,leg,heʔawa,h e ʔ a w a,,datasets_Kabola_Monbang_tsv
148,kabo1247,heel,ekukar,e k u k a r,,datasets_Kabola_Monbang_tsv
149,kabo1247,knee,he 'wuru,h e _ w u r u,,datasets_Kabola_Monbang_tsv
150,kabo1247,back,ta'moto,t a m o t o,,datasets_Kabola_Monbang_tsv
151,kabo1247,skin,pikul,p i k u l,,datasets_Kabola_Monbang_tsv
152,kabo1247,wound,tebaha,t e b a h a,,datasets_Kabola_Monbang_tsv
153,kabo1247,ringworm,kaʧ,k a tʃ,,datasets_Kabola_Monbang_tsv
154,kabo1247,scabies,ko:t,k oː t,,datasets_Kabola_Monbang_tsv
155,kabo1247,tinea,palaŋ,p a l a ŋ,,datasets_Kabola_Monbang_tsv
156,kabo1247,fever,towahati tejoʔo,t o w a h a t i _ t e j o ʔ o,,datasets_Kabola_Monbang_tsv
157,kabo1247,conjunctivitis,teŋ maʔala,t e ŋ _ m a ʔ a l a,(teŋ ‘eye’ maʔala ‘sick/hurt’);,datasets_Kabola_Monbang_tsv
158,kabo1247,cold_influenza,sujahaʔ,s u j a h a ʔ,,datasets_Kabola_Monbang_tsv
159,kabo1247,person,nom noʔo,n o m _ n o ʔ o,,datasets_Kabola_Monbang_tsv
160,kabo1247,name,toni,t o n i,,datasets_Kabola_Monbang_tsv
161,kabo1247,child,koi kaʔai,k o i _ k a ʔ a i,(kaʔai ‘small’),datasets_Kabola_Monbang_tsv
162,kabo1247,man,loti sini,l o t i _ s i n i,,datasets_Kabola_Monbang_tsv
163,kabo1247,woman,kobo sini,k o b o _ s i n i,,datasets_Kabola_Monbang_tsv
164,kabo1247,husband,noloti,n o l o t i,,datasets_Kabola_Monbang_tsv
165,kabo1247,wife,nokobo,n o k o b o,.,datasets_Kabola_Monbang_tsv
166,kabo1247,mother,niwi,n i w i,,datasets_Kabola_Monbang_tsv
167,kabo1247,mother,niwi koj,n i w i _ k o j,,datasets_Kabola_Monbang_tsv
168,kabo1247,father,nimiŋ koj,n i m i ŋ _ k o j,,datasets_Kabola_Monbang_tsv
169,kabo1247,older_sibling,nokoj mot,n o k o j _ m o t,,datasets_Kabola_Monbang_tsv
170,kabo1247,younger_sibling,nokoj diʔi,n o k o j _ d i ʔ i,,datasets_Kabola_Monbang_tsv
171,kabo1247,bride_price,ʔowol,ʔ o w o l,,datasets_Kabola_Monbang_tsv
172,kabo1247,slave,nomi ʔa'sowo,n o m i _ ʔ a s o w o,(nomi ‘person’),datasets_Kabola_Monbang_tsv
173,kabo1247,left_side,weʔeŋ,w e ʔ e ŋ,,datasets_Kabola_Monbang_tsv
174,kabo1247,right_side,toiɲ,t o i ɲ,,datasets_Kabola_Monbang_tsv
175,kabo1247,animal,bi'naŋta,b i n a ŋ t a,,datasets_Kabola_Monbang_tsv
176,kabo1247,dog,bel,b e l,,datasets_Kabola_Monbang_tsv
177,kabo1247,pig,biʔ,b i ʔ,,datasets_Kabola_Monbang_tsv
178,kabo1247,chicken,siu,s i u,(also bird),datasets_Kabola_Monbang_tsv
